Position,Id,Title,Authors,Published Date,Country,Original Language,Page Range,Word Count,Global Rank,Global Score,Genre Categories,Subject Categories,Location Categories
1,10,Beloved,Toni Morrison,1987,American,English,275-350,90000,52,3123,"Fiction, Historical fiction, Literary Fiction, Magical Realism, Psychological, Social & Cultural Fiction","African American, Community, Family, Family dynamics, Freedom, Ghosts, Guilt, Memory, Motherhood, Race relations, Slavery, Trauma, Women's Studies","Cincinnati, Ohio, United States"
2,56,Midnight's Children,Salman Rushdie,1981,Indian,English,450-550,208000,69,2802,"Allegorical, Fiction, Historical fiction, Literary Fiction, Magical Realism, Postmodern, Social & Cultural Fiction","Asian History, Destiny, Family, History, Magic, Memory, Nostalgia, Partition, Politics, Power, Revolution, conflict","Independence, India, Pakistan"
3,500,The Unbearable Lightness of Being,Milan Kundera,1984,Czech,Czech,200-400,85000,103,2271,"Existentialist, Fiction, Literary Fiction, Postmodern, Social & Cultural Fiction, philosophical","Existentialism, Fate, Freedom, Identity, Infidelity, Love, Memory","Czech Republic, Prague"
4,2251,The Name of the Rose,Umberto Eco,1980,Italian,Italian,500-600,174000,118,2100,"Fiction, Gothic, Historical fiction, Mystery, Postmodern, philosophical","Books, Heresy, Inquisition, Knowledge, Libraries, Monasticism, Murder, Philosophy","Fictional Location, Italy"
5,1368,The Handmaid's Tale,Margaret Atwood,1985,Canadian,English,300-400,94000,152,1866,"Dystopian, Fiction, Literary Fiction, Political, Social & Cultural Fiction, Speculative Fiction","Freedom, Identity, Political Ideologies, Power Dynamics, Resistance, Survival, Women's Studies, oppression","Canada, Fictional Location, New England"
6,446,Love in the Time of Cholera,Gabriel García Márquez,1985,Colombian,Spanish,348,62000,163,1732,"Fiction, Historical fiction, Literary Fiction, Magical Realism, Romance","Aging, Communication, Death, Disease, Infidelity, Love, Marriage, Memory, Obsession, Social Class","Caribbean, Colombia"
7,121,The Color Purple,Alice Walker,1982,American,English,250-350,66000,165,1704,"Coming of age, Family & Relationships, Fiction, Literary Fiction, Social & Cultural Fiction","Empowerment, Family, Family dynamics, Friendship, Identity, Racism, Resilience, Sexism, Sisterhood, abuse","Georgia, Southern US, United States"
8,473,The Book of Disquiet,Fernando Pessoa,1982,Portuguese,Portuguese,240-544,80000,189,1541,"Diaries & Journals, Experimental, Fiction, Literary Fiction, Postmodern, philosophical","Alienation, Dreams, Existence, Introspection, Melancholy, Philosophy, Solitude, imagination","Lisbon, Portugal"
9,104,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979,British,English,150-200,46972,190,1538,"Absurdist, Fiction, Humor, Postmodern, Science fiction, Speculative Fiction","Aliens, Bureaucracy, Existentialism, Friendship, Philosophy, Robots, Survival, Technology","Fictional Location, Space, United States"
10,348,A Confederacy of Dunces,John Kennedy Toole,1980,American,English,300-400,121000,195,1516,"Absurdist, Fiction, Humor, Postmodern, Satire, Social & Cultural Fiction","Ambition, Comedy, Eccentricity, Failure, Family, Friendship, Society, Work, isolation","Louisiana, New Orleans, United States"
11,3154,Life and Fate,Vasily Grossman,1980,Russian,Russian,800-900,290000,204,1457,"Fiction, Historical fiction, Literary Fiction, Political, Psychological, Social & Cultural Fiction, philosophical","European History, Family, Family dynamics, Freedom, History, Humanity, Political Ideologies, Suffering, Survival, War, morality","Hope, Russia, Stalingrad"
12,22,The Corrections,Jonathan Franzen,2001,American,English,576,196000,210,1410,"Drama, Fiction, Literary Fiction, Psychological, Social & Cultural Fiction","Aging, Disillusionment, Family, Family dynamics, Identity, Marriage, Mental illness, Midlife crisis, Technology, consumerism","Midwest, New York, New York City, Pennsylvania, United States"
13,14,Blood Meridian,Cormac McCarthy,1985,American,English,300-350,98000,221,1376,"Dark, Fiction, Historical fiction, Literary Fiction, Picaresque, Westerns, philosophical","Chaos, Existentialism, Manifest Destiny, Survival, Violence, human nature, isolation, morality","Mexico, United States"
14,499,The Remains of the Day,Kazuo Ishiguro,1989,British,English,200-250,72000,230,1328,"Allegorical, Fiction, Historical fiction, Literary Fiction, Psychological, Social & Cultural Fiction","Butler, Country life, Dignity, Duty, Family dynamics, Loyalty, Memory, Regret, Service, class, relationships","England, United States"
15,117,Harry Potter And The Philosopher's Stone,J. K. Rowling,1997,British,English,223-332,76944,238,1313,"Adventure, Coming of age, Fantasy, Fiction, High Fantasy, Middle Grade, Speculative Fiction","Courage, Good vs. Evil, Juvenile, Magic, School, Schools & Teaching, Witches, Wizards, orphans","England, Fictional Location"
16,99,White Teeth,Zadie Smith,2000,British,English,448-560,169000,241,1302,"Coming of age, Drama, Fiction, Literary Fiction, Social & Cultural Fiction","Ethics, Family, Family dynamics, Generational Conflict, Immigrants, Immigration, Multiculturalism, Race relations, Science, race","England, Great Britain, London"
17,597,2666,Roberto Bolaño,2004,Chilean,Spanish,900-1100,325000,245,1286,"Encyclopedic, Experimental, Fiction, Literary Fiction, Postmodern, Psychological, Social & Cultural Fiction","Academia, Death, History, Journalism, Madness, Murder, Obsession, Violence, War","Mexico, Santa Teresa"
18,9,Atonement,Ian McEwan,2001,British,English,350-400,123378,247,1271,"Allegorical, Coming of age, Fiction, Historical fiction, Literary Fiction, Psychological","Country life, Family, Family dynamics, Guilt, Injustice, Love, Redemption, Siblings, Teenagers, War, World War II, class, writing","England, Great Britain, London"
19,284,Austerlitz,W. G. Sebald,2001,German,German,200-300,128000,253,1250,"Experimental, Fiction, Historical fiction, Literary Fiction, Postmodern, philosophical","Architecture, Displacement, European History, History, Holocaust, Jews, Loss, Memory, Trauma, War, orphans","Belgium, Czech Republic, England, Germany, Prague"
20,634,Disgrace,J. M. Coetzee,1999,South African,English,220,79000,276,1148,"Drama, Fiction, Literary Fiction, Realistic Fiction, Social & Cultural Fiction, Tragedy","Academia, Animals, Ethics, Family, Justice, Power, Rape, Redemption, Sexual Misconduct, Shame, Violence, race","Africa, Eastern Cape, South Africa"
21,2294,"Life, a User's Manual",Georges Perec,1978,French,French,500-600,156000,278,1144,"Encyclopedic, Experimental, Fiction, Literary Fiction, Picaresque, Postmodern","Existence, History, Human Condition, Identity, Interconnectedness, Memory, Routine, Time, isolation","France, Paris"
22,544,The Stand,Stephen King,1978,American,English,823-1152,472000,280,1142,"Apocalyptic, Dystopian, Fiction, Horror, Post Apocalyptic, Science fiction, Speculative Fiction","Community, Disease, Good vs Evil, Power, Redemption, Survival, fear, human nature, isolation, morality","Boulder, Colorado, Las Vegas, United States"
23,370,The Road,Cormac McCarthy,2006,American,English,287,58000,287,1118,"Apocalyptic, Dystopian, Fiction, Literary Fiction, Post Apocalyptic, Speculative Fiction, Tragedy","Despair, Fatherhood, Humanity, Memory, Mortality, Survival, isolation","Hope, United States"
24,561,The Secret History,Donna Tartt,1992,American,English,523,223000,294,1110,"Crime, Drama, Fiction, Literary Fiction, Mystery, Psychological","Betrayal, Classics, Friendship, Guilt, Murder, Obsession, academic, isolation, morality, secrets","United States, Vermont"
25,63,Never Let Me Go,Kazuo Ishiguro,2005,British,English,288,88500,297,1109,"","",""
26,497,The House of the Spirits,Isabel Allende,1982,Chilean,Spanish,400-500,145000,300,1095,"Family & Relationships, Fiction, Historical fiction, Literary Fiction, Magical Realism, Social & Cultural Fiction","Death, Family, Family dynamics, Love, Magic, Memory, Politics, Revolution, Violence, class, gender","Chile, United States"
27,3149,The Lover,Marguerite Duras,1984,French,French,117-148,42000,304,1074,"Coming of age, Family & Relationships, Fiction, Literary Fiction, Memoir, Social & Cultural Fiction","Family, Love, Memory, Poverty, Sexuality, colonialism, race","France, Vietnam"
28,169,Bonfire of the Vanities,Tom Wolfe,1987,American,English,600-700,190000,321,1032,"Crime, Fiction, Literary Fiction, Political, Satire, Social & Cultural Fiction","Adultery, Ambition, Finance, Justice, Politics, Racism, Social Class, corruption, greed","Media, New York, New York City, United States"
29,364,The Amazing Adventures of Kavalier and Clay,Michael Chabon,2000,American,English,639,216000,323,1024,"Adventure, Fiction, Historical fiction, Literary Fiction, Magical Realism, Postmodern","Alternate History, Dreams, Escape, Heroism, Identity, Jewish, Survival, War","New York, New York City, United States"
30,1043,The Year of Magical Thinking,Joan Didion,2005,American,English,227-240,64500,325,1018,"Family & Relationships, Memoir, Nonfiction, Psychological, Tragedy","Death, Death & Grief, Family, Family dynamics, Grief, Healing, Illness, Journalists, Loss, Marriage, Memory, Mothers & Children, Trauma","New York City, United States"
31,271,If on a Winter's Night a Traveller,Italo Calvino,1979,Italian,Italian,200-300,56000,331,996,"Books About Books, Experimental, Fiction, Literary Fiction, Postmodern, metafiction","Authorship, Books, Deception, Narrative, Perception, relationships","Fictional Location, Reading"
